"Brand","Brand_Style","ABV","Calories","Fat_grams","Calories_from_fat","Saturated_fat_grams","Trans_fat_grams","Cholesterol_mg","Sodium_mg","Carbs_mg","Fiber_grams","Sugars_grams","Protein_grams","Ingredients","Ingr_Water","Ingr_Barley Malt","Ingr_Yeast","Ingr_Hops","Ingr_Rice","Ingr_Sugar","Ingr_Ingredient list to come.","Ingr_Corn Syrup (Dextrose)","Ingr_Wheat","Ingr_Hop Extract","Ingr_Oats","Ingr_Orange Peel","Ingr_Coriander","Ingr_Corn Syrup (Maltose)","Ingr_Cocoa","Ingr_Decaffeinated Coffee","Ingr_Sucrose","Ingr_Pumpkin","Ingr_Spices","Ingr_Honey","Ingr_Orange peel","Ingr_Wheat Malt","Ingr_Tangerine Peel","Ingr_Natural Flavors","Ingr_Mango","Ingr_Natural Flavor","Ingr_Apricot","Ingr_Cardamom","Ingr_Lactic Acid","Ingr_Cinnamon","Ingr_Ginger","Ingr_Mace","Ingr_Carbonated water","Ingr_alcohol from real cane sugar","Ingr_real cane sugar","Ingr_lime juice concentrate","Ingr_natural flavor","Ingr_fruit juice (color)","Ingr_lemon juice concentrate","Ingr_agave","Ingr_apple","Ingr_Apricots and Beet Sugar With House Cultures","Ingr_Beet Sugar","Ingr_Montmorency and Bing Cherries and Beet Sugar with House Cultures","Ingr_Palisade Peaches and Beet Sugar with House Cultures","Ingr_Duarte Plums and Beet Sugar with House Cultures","Ingr_Raw Wheat","Ingr_Corn Syrup (Dextrose and Maltose)","Ingr_Hops & Hop Extract","Ingr_Fresh-Pressed Hard Pear Cider","Ingr_Filtered Water","Ingr_Juice Concentrates as Finishing Sweeteners (Pear","Ingr_Apple","Ingr_Elderberry","Ingr_Blackberry)","Ingr_Malic Acids","Ingr_Raspberry Juice Concentrate(Finishing Sweetener)","Ingr_Contains Sulfites","Ingr_Hard Apple Cider","Ingr_Malic Acid","Ingr_Sulfites","Ingr_Apple Juice Concentrate (Finishing Sweetener)","Ingr_Organic Honey","Ingr_Hard Pear Cider","Ingr_Pear and Apple Juice Concentrates (Finishing Sweeteners)","Ingr_Pear Juice Concentrate (Finishing Sweetener)","Ingr_Organic Maple Syrup","Ingr_Malted Barley","Ingr_Maize","Ingr_Caramel Color","Ingr_Corn Syrup ( Dextrose Maltose)","Ingr_Corn Syrup(Maltose)","Ingr_Cane Sugar","Ingr_Phosphoric Acid","Ingr_Sodium Benzoate and Potassium Sorbate (added for freshness)","Ingr_Citric Acid","Ingr_Certified Colors","Ingr_Sodium Citrate and Natural Flavor","Ingr_Sodium Citrate and Natural Flavors","Ingr_Dextrose","Ingr_Mango Puree","Ingr_Vanilla Beans","Ingr_Vanilla Extract","Ingr_Blackberry Juice","Ingr_Rye","Ingr_Cherry Juice Concentrate","Ingr_White Cranberry  Juice Concentrate","Ingr_Corn","Ingr_Barley","Ingr_Vanilla","Ingr_Corn Syrup (Dextrose","Ingr_Maltose)","Ingr_BarleyMalt","Ingr_Hops and Hop Extract","Ingr_Malted Wheat","Ingr_Carbonated Water","Ingr_Red Wine","Ingr_White Grape Juice Concentrate","Ingr_Natural Flavors. Contains Sulfites.","Ingr_White Wine","Ingr_Peach Juice Concentrate","Ingr_Rose Wine","Ingr_Strawberry Juice Concentrate. Contains Sulfites.","Ingr_Italian Maize","Ingr_Hop Products","Ingr_Corn Syrup","Ingr_Grape Juice (for color)","Ingr_Sodium Benzoate and Potassium Sorbate (Added For Freshness)","Ingr_Elderberry Juice (for color)","Ingr_Sodium Benzoate and Potassium Sorbate(added for freshness)","Ingr_Tartaric Acid","Ingr_Sodium Citrate","Ingr_Fresh","Ingr_Frozen Tangerine Peel","Ingr_Flaked Maize","Ingr_Cumin","Ingr_Lime Peel","Ingr_Agave","Ingr_Lemon Peel","Ingr_Malt","Ingr_Lactobacillus","Ingr_Blackberry Puree","Ingr_Blackberry Juice Concentrate","Ingr_Salt","Ingr_Corn Syrup (Dextrose -not High-Fructose Corn Syrup)","Ingr_Peach Puree","Ingr_Raspberry Puree","Ingr_Passionfruit Puree","Ingr_","Ingr_Sucrose Syrup","Ingr_Apple Juice Concentrate","Ingr_Tomato Paste","Ingr_Inverted Sugar","Ingr_Yeast Extract","Ingr_Black Carrot (for color)","Ingr_Monosodium Glutamate","Ingr_Salt and Natural Flavors.","Ingr_Certified Color","Ingr_FD&C Yellow Number 5","Ingr_Natural &Artificial Flavors","Ingr_Natural & Artificial Flavors","Ingr_NaturalFlavors","Ingr_FD&C Yellow# 5","Ingr_Artificial Flavor","Ingr_FD&C Yellow #5","Ingr_Lactose","Ingr_Blueberry Concentrate","Ingr_Torrified Wheat","Ingr_Sea Salt","Ingr_Grapefruit Peel","Ingr_Flaked Corn","Ingr_Flaked Rye","Ingr_Hemp Flavor","Ingr_Hemp Seeds","Ingr_Cocoa Nibs","Ingr_Chocolate Extract","Ingr_Pineapple","Ingr_Papaya Extract","Ingr_Flaked Oats","Ingr_Peach Flavor","Ingr_Peach Concentrate","Ingr_Prickly Pear Flavor","Ingr_Coffee","Ingr_TorrifiedWheat","Ingr_Watermelon Concentrate","Ingr_Sparkling Water","Ingr_Sodium Citrate and Dried Acerola Cherry Juice","Ingr_Pomegranate Juice Concentrate","Ingr_Kiwi Juice Concentrate","Ingr_Citric acid","Ingr_Natural flavor"
"Blue Moon Winter Wheat","Spiced Abbey Ale",5.9,187,0,0,0,0,0,10,15.9,0,0,2.5,"Water, Barley Malt, Wheat, Oats, Yeast, Hops, Orange Peel, Cinnamon, Ginger, Mace",1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Line Blackberry Mojito","Sparkling Cocktail",4.5,120,0,0,0,0,0,5,9,0,8,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lime juice concentrate, natural flavor, fruit juice (color)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Line Hard Strawberry Lemonade","Sparkling Cocktail",4.5,120,0,0,0,0,0,10,10,0,9,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lemon juice concentrate, natural flavor, fruit juice (color)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Line Margarita","Sparkling Cocktail",4.5,120,0,0,0,0,0,5,9,0,8,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lime juice concentrate, natural flavor, agave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Line White Peach Sangria","Sparkling Cocktail",4.5,100,0,0,0,0,0,5,4,0,3,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lemon juice concentrate, natural flavor, apple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Amber Lager","American Amber Lager",5.5,171,0,0,0,0,0,20,14.9,0,1,1.3,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Apricot","Fruited Barrel-Aged Sour",5.9,169,0,0,0,0,0,25,12.5,0,4,1.4,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Apricots and Beet Sugar With House Cultures",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Golden Lager","American Amber Lager",5.5,166,0,0,0,0,0,20,12.9,0,1,2,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Imperial Porter","Imperial Porter",9.5,280,0,0,0,0,0,25,22.8,0,1,2.5,"Water, Barley Malt, Wheat Malt, Beet Sugar, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Kriek","Fruited Barrel-Aged Sour",6.6,199,0,0,0,0,0,30,15.6,0,7,2.3,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Montmorency and Bing Cherries and Beet Sugar with House Cultures",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native LoCal","American-Style Light Lager",4.1,99,0,0,0,0,0,15,5,0,1,1,"Water, Barley Malt, Wheat Malt, Beet Sugar, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Olathe","American Lager",5.1,153,0,0,0,0,0,20,11.6,0,1,1.8,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Peche","Fruited Barrel-Aged Sour",5.8,151,0,0,0,0,0,20,8.8,0,2,1.2,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Palisade Peaches and Beet Sugar with House Cultures",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Pilsner","American-Style Pilsner",5,159,0,0,0,0,0,15,13.8,0,1,1.9,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Plum","Fruited Barrel-Aged Sour",7,197,0,0,0,0,0,30,13.8,0,3,1.5,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Duarte Plums and Beet Sugar with House Cultures",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Saison","Saison",5.3,140,0,0,0,0,0,20,7.3,0,1,1.6,"Water, Barley Malt, Wheat Malt, Raw Wheat, Hops, Yeast",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native West Slope IPA","American IPA",5.5,182,0,0,0,0,0,15,16.1,0,3,2.7,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Native Winterfest","German-Style Bock",7,211,0,0,0,0,0,25,17.4,0,1,2.5,"Water, Barley Malt, Yeast, Hops",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coors Banquet","American-Style Lager",5,147,0,0,0,0,0,15,11.7,0,0,1,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coors Edge","Non-Alcoholic Lager",0.5,41,0,0,0,0,0,15,8,0,4,1,"Ingredient list to come.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coors Light","American-Style Light Lager",4.2,102,0,0,0,0,0,10,5,0,1,1,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coors Non-Alcoholic","Non-Alcoholic Lager",0.5,58,0,0,0,0,0,0,12.2,0,8,1,"Water, Barley Malt, Corn Syrup (Dextrose and Maltose), Yeast, Hops & Hop Extract",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crispin Blackberry Pear","Pear Cider",5,180,0,0,0,0,0,10,16,0,13,0,"Fresh-Pressed Hard Pear Cider, Filtered Water, Juice Concentrates as Finishing Sweeteners (Pear, Apple, Elderberry, Blackberry), Natural Flavors, Malic Acids, Raspberry Juice Concentrate(Finishing Sweetener), Contains Sulfites",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crispin Browns Lane","English-Style Cider",5.8,170,0,0,0,0,0,10,14,0,12,0,"Hard Apple Cider, Filtered Water, Sucrose, Malic Acid, Sulfites",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crispin Brut","Apple Cider",5.5,170,0,0,0,0,0,5,13,0,10,0,"Hard Apple Cider,Filtered Water, Apple Juice Concentrate (Finishing Sweetener), Natural Flavor, Malic Acid, Contains Sulfites",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crispin Honey Crisp","Apple Cider",6.5,200,0,0,0,0,0,5,16,0,14,0,"Hard Apple Cider,Filtered Water, Organic Honey, Natural Flavor, Malic Acid, Contains Sulfites",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
